#Network , Station , Latitude , Longitude , Elevation , SiteName , StartTime , EndTime
AU,MCQ,-54.4986,158.9561,14.0,Macquarie Island,2004-06-28T00:00:00,
BK,CMB,38.03455,-120.38651,697.0,"Columbia College, Columbia, CA, USA",1996-09-25T19:19:00,
CI,PASC,34.17141,-118.18523,341.0,Art Center College of Design (GSN-affiliate),2006-10-05T00:00:00,
CU,ANWB,17.66853,-61.78557,39.0,North Barbuda Island,2007-09-07T00:00:00,
CU,BBGH,13.1434,-59.5588,180.0,"Gun Hill, Barbados",2006-09-06T18:12:00,
CU,BCIP,9.1665,-79.8373,61.0,"Isla Barro Colorado, Panama",2006-12-02T15:44:00,
CU,GRGR,12.1324,-61.654,195.0,"Grenville, Grenada",2006-12-12T11:41:00,
CU,GRTK,21.51149,-71.1327,12.0,"Grand Turk, Turks and Caicos Islands",2007-12-18T00:00:00,
CU,GTBY,19.9268,-75.1108,79.0,"Guantanamo Bay, Cuba",2007-08-27T15:26:00,
CU,MTDJ,18.22605,-77.53454,925.0,"Mount Denham, Jamaica",2007-12-08T00:00:00,
CU,SDDR,18.9821,-71.2878,589.0,"Presa de Sabenta, Dominican Republic",2006-08-30T00:00:00,
CU,TGUH,14.057,-87.273,1151.0,"Tegucigalpa, Honduras",2006-09-20T22:59:00,
GT,LBTB,-25.0151,25.596649,1128.0,"Lobatse, Botswana, Africa",2002-11-04T00:00:00,
GT,VNDA,-77.517273,161.852753,121.1,"Dry Valley, Vanda, Antarctica",1993-12-28T00:00:00,
H2,H2O,27.88191,-141.99173,-4947.0,Hawaii-2 Observatory,1999-10-04T00:00:00,2003-05-27T00:00:00
HK,HKPS,22.277599,114.141502,196.3,"Po Shan, Hong Kong",2009-10-29T00:00:00,
IC,BJT,40.0183,116.1679,197.0,"Baijiatuan, Beijing, China",2013-04-17T00:00:00,
IC,ENH,30.2762,109.4944,500.0,"Enshi, Hubei Province, China",2013-05-02T02:00:00,
IC,HIA,49.2704,119.7414,620.0,"Hailar, Neimenggu Autonomous Region, China",2013-05-10T10:00:00,
IC,KMI,25.1233,102.74,1975.0,"Kunming, Yunnan Province, China",2013-01-17T01:00:00,
IC,LSA,29.7031,91.127,3660.0,"Tibet, China",2013-05-09T11:30:00,
IC,MDJ,44.61763,129.59341,290.0,"Mudanjiang, Heilongjiang Province, China",2013-05-05T04:00:00,
IC,QIZ,19.0291,109.8445,240.0,"Qiongzhong, Hainan Province, China",2013-01-10T00:00:00,
IC,SSE,31.0948,121.1908,40.0,"Shanghai, China",2013-04-27T02:00:00,
IC,WMQ,43.8138,87.7049,850.0,"Urumqi, Xinjiang Province, China",2013-04-27T04:00:00,
IC,XAN,34.0313,108.9237,630.0,"Xi'an, China",2013-01-17T03:00:00,
II,AAK,42.6375,74.4942,1633.1,"Ala Archa, Kyrgyzstan",1990-10-12T00:00:00,
II,ABKT,37.9304,58.1189,678.0,"Alibek, Turkmenistan",1993-04-25T00:00:00,2013-12-30T23:59:59
II,ABPO,-19.018,47.229,1528.0,"Ambohimpanompo, Madagascar",2007-04-04T00:00:00,
II,ALE,82.5033,-62.35,60.0,"Alert, NU, Canada",1990-02-19T00:00:00,
II,ARTI,56.3879,58.3849,320.0,"Arti, Russia",2018-09-09T00:00:00,
II,ARU,56.4293,58.5615,260.0,"Arti, Russia",2009-09-28T00:00:00,2018-09-08T23:59:59
II,ASCN,-7.9327,-14.3601,173.0,"Butt Crater, Ascension Island",1994-10-01T00:00:00,
II,BFO,48.3301,8.3296,638.0,"Black Forest Observatory, Schiltach, Germany",1996-05-29T00:00:00,
II,BORG,64.7474,-21.3268,110.0,"Borgarfjordur, Asbjarnarstadir, Iceland",1994-07-30T00:00:00,
II,BORK,53.0461,70.3184,334.0,"Burabay, Kazakhstan",2019-08-22T00:00:00,
II,BRVK,53.0581,70.2828,330.0,"Borovoye, Kazakhstan",1994-09-01T00:00:00,2019-08-21T23:59:59
II,CMLA,37.7637,-25.5243,429.0,"Cha de Macela, Sao Miguel Island, Azores",1996-03-10T00:00:00,
II,COCO,-12.1901,96.8349,1.0,"West Island, Cocos (Keeling) Islands",1996-12-15T00:00:00,
II,DGAR,-7.4121,72.4525,1.0,"Diego Garcia, Chagos Islands, Indian Ocean",2004-01-22T00:00:00,
II,EFI,-51.6753,-58.0637,110.0,"Mount Kent, East Falkland Island",1996-02-16T00:00:00,
II,ERM,42.015,143.1572,40.0,"Erimo, Hokkaido Island, Japan",1990-05-21T00:00:00,
II,ESK,55.3167,-3.205,242.0,"Eskdalemuir, Scotland, UK",1987-11-13T00:00:00,
II,FFC,54.725,-101.9783,338.0,"Flin Flon, Canada",1993-08-28T00:00:00,
II,GAR,39.0052,70.3328,1300.0,"Garm, Tajikistan",1988-09-14T00:00:00,1992-05-28T23:59:59
II,HOPE,-54.2836,-36.4879,20.0,"Hope Point, South Georgia Island",1996-12-10T00:00:00,
II,JTS,10.2908,-84.9525,340.0,"Las Juntas de Abangares, Costa Rica",1995-04-23T00:00:00,
II,KAPI,-5.0142,119.7517,300.0,"Kappang, Sulawesi, Indonesia",1999-02-06T00:00:00,
II,KDAK,57.7828,-152.5835,152.0,"Kodiak Island, Alaska, USA",1997-06-09T00:00:00,
II,KIV,43.9553,42.6863,1054.0,"Kislovodsk, Russia",1994-02-01T00:00:00,
II,KURK,50.7154,78.6202,184.0,"Kurchatov, Kazakhstan",1995-03-26T00:00:00,
II,KWAJ,8.8019,167.613,0.0,"Kwajalein Atoll, Pacific Ocean",1999-06-22T00:00:00,2017-08-08T21:08:59
II,KWJN,9.2873,167.5369,0.0,"Gagan, Kwajalein Atoll, Marshall Islands",2017-07-29T00:00:00,
II,LVZ,67.8979,34.6514,630.0,"Lovozero, Russia",1992-12-01T00:00:00,
II,MBAR,-0.6019,30.7382,1390.0,"Mbarara, Uganda",1999-09-22T00:00:00,
II,MSEY,-4.6737,55.4792,475.0,"Mahe, Seychelles",1995-05-15T00:00:00,
II,MSVF,-17.7448,178.0528,801.1,"Monasavu, Fiji",1994-05-24T00:00:00,
II,NIL,33.6506,73.2686,629.0,"Nilore, Pakistan",1994-12-18T00:00:00,
II,NNA,-11.9875,-76.8422,575.0,"Nana, Peru",1988-06-22T00:00:00,
II,NRIL,69.5049,88.4414,92.0,"Norilsk, Russia",1992-12-15T00:00:00,1999-10-13T23:59:59
II,NVS,54.8404,83.2346,150.0,"Novosibirsk, Russia",1992-07-15T00:00:00,1994-02-15T23:59:59
II,OBN,55.1146,36.5674,160.0,"Obninsk, Russia",1988-09-14T00:00:00,
II,PALK,7.2728,80.7022,460.0,"Pallekele, Sri Lanka",2000-08-22T00:00:00,
II,PFO,33.6107,-116.4555,1280.0,"Pinon Flat, California, USA",2006-07-13T00:00:00,
II,RAYN,23.5225,45.5032,631.0,"Ar Rayn, Saudi Arabia",1996-01-01T00:00:00,
II,RPN,-27.1267,-109.3344,110.0,"Rapanui, Easter Island, Chile",1987-06-15T00:00:00,
II,SACV,14.9702,-23.6085,387.0,"Santiago Island, Cape Verde",2000-05-29T00:00:00,
II,SHEL,-15.9594,-5.7455,537.0,"Horse Pasture, St. Helena Island",1995-06-19T00:00:00,
II,SIMI,38.6585,69.0083,1400.5,"Simiganj, Tajikistan",2016-10-06T00:00:00,
II,SUR,-32.3797,20.8117,1770.0,"Sutherland, South Africa",1990-10-30T00:00:00,
II,TAU,-42.9099,147.3204,132.0,"Hobart, Tasmania, Australia",1994-01-17T00:00:00,
II,TLY,51.6807,103.6438,579.0,"Talaya, Russia",1990-10-12T00:00:00,
II,UOSS,24.9453,56.2042,284.4,"Univ. of Sharjah, Sharjah, United Arab Emirates",2009-05-07T00:00:00,
II,WRAB,-19.9336,134.36,366.0,"Tennant Creek, NT, Australia",1994-03-27T00:00:00,
IM,ATTU,52.882099,173.164307,250.0,"Attu Island, AK, USA",1972-01-03T00:00:00,2010-04-01T19:14:56
IM,ATTU1,52.882099,173.164307,250.0,"Attu Island Short Period, AK, USA",2006-06-20T00:00:00,2010-04-01T19:15:00
IM,ATTUB,52.882099,173.164307,250.0,"Attu Island, AK, USA",2006-06-20T00:00:00,2010-04-01T19:15:00
IM,IL01,64.771599,-146.886093,418.0,"ILAR Array, Site 1, Eielson, AK, USA",1977-04-01T00:00:00,
IM,IL02,64.784698,-146.864304,261.0,"ILAR Array, Site 2, Eielson, AK, USA",1977-04-01T00:00:00,
IM,IL03,64.7714,-146.851196,440.0,"ILAR Array, Site 3, Eielson, AK, USA",1977-04-01T00:00:00,
IM,IL04,64.757004,-146.876099,528.0,"ILAR Array, Site 4, Eielson, AK, USA",1977-04-01T00:00:00,
IM,IL05,64.773102,-146.922897,389.0,"ILAR Array, Site 5, Eielson, AK, USA",1977-04-01T00:00:00,
IM,IL06,64.779198,-146.904007,262.0,"ILAR Array, Site 6, Eielson, AK, USA",1977-04-01T00:00:00,
IM,IL07,64.799301,-146.839294,401.0,"ILAR Array, Site 7, Eielson, AK, USA",1984-10-02T00:00:00,
IM,IL08,64.790298,-146.796906,505.0,"ILAR Array, Site 8, Eielson, AK, USA",1984-10-02T00:00:00,
IM,IL09,64.768097,-146.783203,494.0,"ILAR Array, Site 9, Eielson, AK, USA",1984-10-02T00:00:00,
IM,IL10,64.752899,-146.843094,586.0,"ILAR Array, Site 10, Eielson, AK, USA",1977-04-01T00:00:00,
IM,IL11,64.741501,-146.8974,444.0,"ILAR Array, Site 11, Eielson, AK, USA",1977-04-01T00:00:00,
IM,IL12,64.744698,-146.943604,366.0,"ILAR Array, Site 12, Eielson, AK, USA",1977-04-01T00:00:00,
IM,IL13,64.747902,-146.986496,367.0,"ILAR Array, Site 13, Eielson, AK, USA",1977-04-01T00:00:00,
IM,IL14,64.775002,-146.979401,223.0,"ILAR Array, Site 14, Eielson, AK, USA",1977-04-01T00:00:00,
IM,IL15,64.777702,-146.942795,336.0,"ILAR Array, Site 15, Eielson, AK, USA",1977-04-01T00:00:00,
IM,IL16,64.793297,-146.921494,382.0,"ILAR Array, Site 16, Eielson, AK, USA",1977-04-01T00:00:00,
IM,IL17,64.807198,-146.889801,357.0,"ILAR Array, Site 17, Eielson, AK, USA",1984-10-02T00:00:00,
IM,IL18,64.7575,-146.776794,554.0,"ILAR Array, Site 18, Eielson, AK, USA",1984-10-02T00:00:00,
IM,IL19,64.746101,-146.797394,549.0,"ILAR Array, Site 19, Eielson, AK, USA",1984-10-02T00:00:00,
IM,IL31,64.7714,-146.886597,419.0,"ILAR Array, Site 31, Eielson, AK, USA",1980-01-01T00:00:00,
IM,NV01,38.429501,-118.303703,2040.0,"NVAR Array Site 01, Mina, NV, USA",1972-01-03T00:00:00,
IM,NV02,38.437199,-118.305496,2097.0,"NVAR Array Site 02, Mina, NV, USA",1972-01-03T00:00:00,
IM,NV03,38.427799,-118.293701,2006.0,"NVAR Array Site 03, Mina, NV, USA",1972-01-03T00:00:00,
IM,NV04,38.423302,-118.306801,1998.0,"NVAR Array Site 04, Mina, NV, USA",1972-01-03T00:00:00,
IM,NV05,38.4464,-118.291298,2198.0,"NVAR Array Site 05, Mina, NV, USA",1972-01-03T00:00:00,
IM,NV06,38.423,-118.2743,1951.0,"NVAR Array Site  06, Mina, NV, USA",1972-01-03T00:00:00,
IM,NV07,38.410801,-118.294899,1554.0,"NVAR Array Site 07, Mina, NV, USA",1972-01-03T00:00:00,
IM,NV08,38.404202,-118.317802,1804.0,"NVAR Array Site 08, Mina, NV, USA",1972-01-03T00:00:00,
IM,NV09,38.435501,-118.3367,1914.0,"NVAR Array Site 09, Mina, NV, USA",1972-01-03T00:00:00,
IM,NV10,38.448002,-118.319199,2213.0,"NVAR Array Site 10, Mina, NV, USA",1972-01-03T00:00:00,
IM,NV11,38.4328,-118.153,1585.0,"NVAR Array, Site 11 Mina, NV, USA",1970-01-24T00:00:00,
IM,NV31,38.4328,-118.155403,1509.0,"NVAR Array Site 31, Mina, NV, USA",1972-01-03T00:00:00,
IM,NV32,38.334301,-118.2995,1829.0,"NVAR Array, Mina, NV, USA",1970-01-24T00:00:00,2008-01-08T17:59:00
IM,NV33,38.485001,-118.418297,1920.0,"NVAR Array, Mina, NV, USA",1970-01-24T00:00:00,2008-01-08T17:59:00
IM,PD01,42.776501,-109.583199,2199.0,"PDAR Array, Pinedale, WY, USA",1995-08-23T00:00:00,
IM,PD02,42.778198,-109.566399,2218.0,"PDAR Array, Pinedale, WY, USA",1995-08-23T00:00:00,
